"Best4.Enterocytes","Enterocytes","Enteroendocrine","Goblet","Stem","TA"
1292,1049,1400,1295,1199,1119
1997,1730,1910,1984,1699,1856
2363,1773,2401,2231,1994,2130
1513,1254,955,1422,1398,1449
2503,2353,2290,2330,2994,2739
4450,3009,7965,4410,3996,3966
1577,1404,1511,1519,1808,1672
10286,11344,13000,10961,10188,10485
10557,11494,14733,11903,11023,11026
1248,1081,1224,1343,1331,1208
2901,1730,2309,3615,3167,2888
5200,4809,4339,4932,5248,5664
3076,3853,5582,2802,3019,3136
4388,4633,4747,4164,4180,4489
1621,1054,2012,1583,1542,1461
3318,3600,2976,3656,3141,3300
6384,6585,3811,4874,6199,6136
1175,1422,927,1201,1367,1360
2860,3845,2327,3232,3382,3613
6861,8945,5202,7410,6537,6825
12809,11630,11099,12226,12778,12987
6519,6355,4562,6536,6874,7101
6777,8583,3551,5991,6739,6902
3446,2354,3468,2816,3775,3360
7782,6737,7251,7160,7183,7330
2397,2347,1966,1944,2294,2255
6165,6018,7650,7469,6154,6178
7011,4939,5730,6398,6339,6366
5289,3643,6667,5755,4921,4957
6828,6076,8549,6324,6437,6317
11818,8911,10478,12761,10951,10994
1522,1323,1409,1295,1496,1525
1888,1374,4043,1769,1788,1729
2124,1775,1984,2244,2081,2019
6005,4580,5628,5960,5652,5480
3766,4023,2763,3924,3422,3683
2384,1584,1623,1695,1764,1922
1631,1332,1836,1276,1461,1475
3303,2786,3802,3019,2824,2738
8626,9185,7863,9146,8663,8995
3239,3326,3505,3382,3496,3415
4782,4127,5276,5167,4968,5149
9962,8919,7019,9080,9163,9157
3262,2238,3663,3422,3193,3015
8162,7999,7687,7818,8129,7596
3694,3654,4108,3907,4027,4012
3395,4103,3764,4255,3320,3589
2454,2232,2763,2613,2335,2306
2534,1802,2272,2295,2433,2415
1938,1991,2012,2382,2233,2099
1925,1835,1882,1677,1683,1708
964,972,677,855,987,986
1078,1100,1020,1157,1089,1170
3843,3926,3208,3765,3836,3824
3445,4198,3060,3900,3470,3647
2688,2058,2290,2495,2662,2725
1103,958,816,923,1067,1078
3942,1865,3663,4208,3410,3032
2717,2313,1901,2516,2467,2564
1123,945,1029,1185,1153,1062
3525,3455,3672,3107,4045,3664
4305,3138,3681,3301,3788,3881
5258,4323,6630,5814,5133,5183
3807,3970,3486,3770,4006,3975
1379,1571,1715,1382,1888,1714
1323,1105,1187,1187,1286,1148
3165,4205,2299,3259,2648,2652
6991,7826,7538,6776,7538,7660
6819,7510,4293,6397,6429,6609
6692,5571,5461,7252,6700,6682
4895,3132,3180,4614,3952,3789
3443,3240,2494,2822,2738,2754
10503,11816,7418,10361,9262,9600
4632,5916,3421,4268,4296,4408
3819,2842,3292,3472,3634,3496
8910,7365,8605,8403,8037,8184
6777,6324,6453,6230,6432,6382
6718,6725,6055,6042,6607,6873
10273,10432,11284,10425,10638,10964
11330,11846,11136,11152,11446,11616
12042,11290,11386,12517,11857,11675
5680,5248,4386,5429,5388,5747
9146,8847,11627,8538,8846,9146
8196,8118,11025,8660,8647,8763
2535,1363,2522,1760,2133,2143
3602,2028,2225,1911,2721,2568
2553,2161,4024,2380,2608,2844
7189,7962,4098,6346,6652,6941
9798,12463,10134,9567,10203,10602
1919,1231,3551,1864,1860,1644
1633,1183,2596,1717,1313,1251
3887,4475,5637,3086,3873,3968
1859,1958,4043,1757,1871,1964
4511,4668,4942,4036,4401,4555
2740,1921,3774,2506,2805,2546
3267,3651,4247,4390,3220,3152
6932,5987,7464,6883,6836,6941
2260,1807,1919,2125,2633,2454
1156,1245,1048,1031,1195,1201
3888,4052,3208,3994,4114,4226
1315,1243,1076,1276,1229,1257
7847,6979,7863,8975,7195,7509
7500,6672,9504,7851,6916,6888
3128,2241,5990,3413,3434,3017
1510,1496,1752,1661,1726,1898
1154,1038,1048,1150,1254,1230
945,1026,723,1402,1119,1103
1059,973,593,1005,977,997
1376,1109,1057,1361,1101,1143
1380,1093,1076,1146,1292,1190
1551,1635,1771,1563,1607,1656
904,833,593,795,913,935
741,830,473,709,812,866
1017,855,714,776,871,970
898,1199,1242,845,938,1082
1145,1096,1233,1122,1113,1178
2785,3289,2216,2286,2753,2742
2400,2196,1910,2011,2039,2042
1542,1341,1020,1394,1480,1583
2344,2558,3134,2927,2835,3093
1103,1183,853,1105,1192,1249
960,906,733,882,981,965
2140,1354,3153,2097,1744,1725
2374,1927,2142,2337,2244,2177
2237,1813,1919,2134,2210,2190
4050,3347,3421,3963,3744,3798
6032,4837,3950,4579,5177,5314
2721,2958,2364,1885,2420,2558
863,829,649,803,885,909
1028,950,593,1096,984,995
3126,2915,2800,3301,2712,2722
1401,1236,1113,1353,1147,1201
2713,1803,3023,2304,2362,2290
5075,5982,3644,5241,5502,5407
1614,1968,1715,1491,1878,1945
1336,1417,2568,1296,1818,1917
2789,2209,3931,2741,2768,2684
4345,3899,6055,5631,4526,4236
4722,4718,6389,5493,5314,5202
2443,1795,3709,2251,2423,2418
1977,1909,3041,2209,2149,2076
1092,1003,946,1295,1109,1225
2138,1752,2503,2298,2058,1909
1154,1145,955,1101,1200,1296
5335,5262,5090,6365,4547,4890
5093,4279,6064,4999,4776,4819
2523,2623,3004,2391,2573,2633
4774,5198,6092,5258,4783,4983
8397,6888,6648,6491,6766,6772
8650,10159,7566,6929,7813,7953
3695,2610,3440,3528,3719,3585
6712,6417,8169,8083,6415,6279
6146,5281,7371,5464,5647,5604
9123,8637,11627,9960,8761,8810
2480,2536,2272,2753,2401,2506
3211,2956,4312,3933,3313,3463
3969,4407,3097,3647,3887,3763
4727,4702,3922,4576,4396,4484
2115,2376,2735,2023,2231,2194
4766,5742,4339,5501,5322,5597
1452,1222,1641,1410,1323,1354
5154,4411,4553,4068,4709,4621
3016,3007,3764,2931,3132,3181
1971,1921,2680,1991,2183,1829
6889,8496,7464,6629,7639,7916
5726,7981,6500,5928,6160,6238
3788,3172,2541,3443,3468,3587
890,964,1456,854,956,983
895,871,566,837,893,917
4169,4769,3459,3370,3933,4236
1153,1094,872,1047,1062,1103
1777,1457,2847,1840,1767,1731
3400,4080,4877,3740,4185,4032
6450,6512,6389,6223,6288,6232
2388,1694,2930,2216,2367,2219
3630,4705,2930,3243,3714,3967
2901,3200,2392,3261,2743,2890
2213,1360,1706,1952,1710,1656
2856,2528,3375,3028,2928,2950
4067,3997,3727,4055,3808,3744
4312,4783,3588,4626,4576,4453
4185,3088,3968,4834,3931,3903
3229,3270,2615,3057,2980,3245
4106,3939,5183,4136,3872,3906
1540,1282,1465,2173,1595,1542
1012,878,556,907,1009,1015
973,904,612,893,922,989
1406,948,1085,1382,1208,1234
2219,2230,1484,1877,1991,2062
984,916,983,1027,1002,978
1920,2108,1956,2186,2088,2179
2972,3144,2689,3194,3236,3236
7035,6326,6815,7575,7155,7393
5298,5391,5545,5783,5855,5869
4683,5160,3792,4224,4596,4656
7880,10245,5545,7782,7673,7472
1080,970,909,959,1017,1061
1678,1502,1576,1421,1639,1670
1987,1504,1706,1948,1579,1570
1264,1132,1539,1413,1394,1419
6997,8213,8410,7720,7067,7424
2182,1350,3996,2602,1999,1919
